company	amt	amtRatio	contracts	contRatio	employees
	2265603.13	0.0034	56	0.1141	80
Syracuse University	-1134.72	0.0018	1	0.002	4696
Virgin Galactic Llc	51923.0	0.0018	1	0.002	20000
Gilbane Building Company	65381.96	0.0018	1	0.002	2000
Chi Systems Incorporated	124681.0	0.0019	1	0.002	30
Photodigm Incorporated	9.0	0.0018	1	0.002	15
Millennium Space Systems Incorporated	8644450.27	0.0082	3	0.0061	35
Exquadrum Incorporated	124996.0	0.0019	1	0.002	20
Ci Systems Incorporated	55224.0	0.0018	3	0.0061	110
Southwest Research Institute	25117363.62	0.0204	56	0.1141	3340
Weather Central, Lp	5869.0	0.0018	1	0.002	111
Hensel Phelps Construction Co	64446000.0	0.0496	1	0.002	2940
Ion Science (americas), Llc	8991.0	0.0018	1	0.002	5
Sysense Incorporated	749958.0	0.0023	1	0.002	8
Intergraph Corporation	14856.0	0.0018	1	0.002	12000
The Calvert Wire And Cable Corporation	11466.25	0.0018	2	0.0041	6900
Paragon Space Development Corporation	874502.0	0.0024	2	0.0041	70
4w Solutions Incorporated	-6296.8	0.0018	2	0.0041	10
Regents Of The University Of Minnesota	1613427.87	0.003	20	0.0407	25976
Peregrine Falcon Corporation	124516.0	0.0019	1	0.002	8
Ahntech Incorporated	-3959.75	0.0018	1	0.002	2000
Mha Consulting Incorporated	9195.0	0.0018	1	0.002	9
Black Forest Engineering Llc	874595.0	0.0024	2	0.0041	12
Edmund Optics Incorporated	6671.1	0.0018	1	0.002	700
Patriot Technologies Incorporated	17616.53	0.0018	1	0.002	55
Vec Valley Electric Incorporated	2672292.0	0.0037	14	0.0285	4
Van Duyn, Sally	17112.5	0.0018	1	0.002	1
Knowledge Sharing Systems Limited Liability Company	0.0	0.0018	2	0.0041	10
B&h Foto And Electronics Corporation	27503.5	0.0018	2	0.0041	850
Triton Services Incorporated	160230.69	0.0019	5	0.0102	100
Mythics Incorporated	11121.66	0.0018	2	0.0041	20
Exoterra Resource, Llc	124763.0	0.0019	1	0.002	8
Divizzio International Llc	25915.0	0.0018	3	0.0061	1
No Magic Incorporated	32920.0	0.0018	4	0.0081	139
Bloomsburg University Of Pennsylvania	-6476.72	0.0018	1	0.002	900
Modal Shop, Incorporated The	9194.16	0.0018	1	0.002	22
Setaram Incorporated	3885.15	0.0018	2	0.0041	150
Prioria Robotics Incorporated	749147.0	0.0023	1	0.002	35
Aerotech Incorporated	44534.0	0.0018	2	0.0041	325
Tier 1 Performance Solutions, Llc	23944.0	0.0018	1	0.002	99
Eagle Stainless Tube & Fabrication Incorporated	617.0	0.0018	2	0.0041	92
F. N. Cuthbert Incorporated	3554.72	0.0018	1	0.002	9
Dataspan Incorporated	171225.0	0.0019	1	0.002	37
Wayne State University (inc)	34971.0	0.0018	1	0.002	9800
Deerpath Corporation	11945.0	0.0018	3	0.0061	379
Broad Reach Engineering Company	1760417.0	0.0031	3	0.0061	10147
Training Connection Incorporated (6903)	42589.83	0.0018	3	0.0061	5
Force Measurement Systems Incorporated	188144.0	0.0019	1	0.002	15
Aircraft Demolition Llc	62576.3	0.0018	1	0.002	15
Shell Energy North America (us), L.P.	179518.15	0.0019	1	0.002	104000
Lorr Company	645.0	0.0018	1	0.002	3
Sandmeyer Steel Company	19169.0	0.0018	1	0.002	117
System 76 Incorporated	3998.82	0.0018	1	0.002	7
Fiberoptic Systems Incorporated	14318.4	0.0018	2	0.0041	28
Aec Emersion Joint Venture	385894.43	0.002	4	0.0081	1
Hooks-yenson Llc	3936.5	0.0018	1	0.002	3
Edax Incorporated	34916.0	0.0018	4	0.0081	15000
Stratos Mobile Networks Incorporated	3187.5	0.0018	1	0.002	1037
Storagenergy Technologies Incorporated	749989.0	0.0023	1	0.002	4
University Of California, San Diego	3266390.13	0.0042	30	0.0611	25000
Preston Industries Incorporated	-52.0	0.0018	1	0.002	165
Proctor, Stanley M Company, The (inc)	3353.15	0.0018	2	0.0041	20
Merlin International Incorporated	21080.48	0.0018	2	0.0041	145
Noritsu America Corporation	4248.0	0.0018	1	0.002	386
Cellular Solutions Signal Enhancing Specialists Llc	-39127.0	0.0017	1	0.002	13
Nor-cal Products Incorporated	-169.3	0.0018	1	0.002	240
Octagon Industries Incorporated	16581.29	0.0018	2	0.0041	5
Western Reserve Water Systems Incorporated	16665.92	0.0018	1	0.002	35
Attocube Systems Ag	12628.1	0.0018	1	0.002	1300
Lavision Incorporated	386205.0	0.002	3	0.0061	50
Glenair Incorporated	-55.97	0.0018	1	0.002	1500
Espec North America Incorporated	38335.0	0.0018	1	0.002	1337
Patent And Trademark Office, United States	3986.0	0.0018	1	0.002	0
Matthew Bender & Company Incorporated	26571.65	0.0018	2	0.0041	0
Major Tool And Machine Incorporated	7824.0	0.0018	1	0.002	300
M&d Machine Incorporation	24328.57	0.0018	8	0.0163	31
Towlift Incorporated	3159.0	0.0018	1	0.002	273
Ohio University	452999.49	0.0021	4	0.0081	5140
Jeol Usa Incorporated	29197.02	0.0018	3	0.0061	3000
Complete Packaging & Shipping Supplies Incorporated	4418.88	0.0018	1	0.002	20
Govware Limited Liability Company	4545.0	0.0018	1	0.002	5
Presidio Networked Solutions Incorporated	151265.47	0.0019	10	0.0204	1248
Stinson, Alvin Macon	3725.0	0.0018	1	0.002	1
Barrios Technology, Ltd	12571157.0	0.0111	2	0.0041	577
Faraday Technology Incorporated	124557.0	0.0019	1	0.002	168
Transfinite Systems Ltd	6885.0	0.0018	1	0.002	4
Digi-key Corporation	12863.31	0.0018	2	0.0041	2600
Stanley Works The	21514.14	0.0018	2	0.0041	0
Kinetic Systems Incorporated	6396.5	0.0018	1	0.002	30
National Office Systems Incorporated	0.0	0.0018	2	0.0041	34
Environmental Systems Research	446671.2	0.0021	2	0.0041	2100
Onyx Optics Incorporated	61226.0	0.0018	1	0.002	15
Latitude Engineering, Llc	747448.0	0.0023	1	0.002	20
University Of Central Florida	3647606.89	0.0045	16	0.0326	9780
Rofin-sinar Incorporated	12745.1	0.0018	2	0.0041	2265
Leiden Measurement Technology Llc	124556.0	0.0019	1	0.002	2
Motion Engineering Company Incorporated	78390.01	0.0018	2	0.0041	5
Picarro Incorporated	364.0	0.0018	1	0.002	110
University Of Notre Dame Du Lac	395330.0	0.0021	5	0.0102	9999
Thermo Electron North America Llc	106607.75	0.0018	6	0.0122	39000
Mtn Government Services Incorporated	85273.64	0.0018	5	0.0102	255
Comtech Ef Data Corp	11631.75	0.0018	3	0.0061	1035
Skidmore College	82725.0	0.0018	1	0.002	0
A&n Electric Cooperative	290659.17	0.002	3	0.0061	64
Leland Stanford Junior University	2095976.96	0.0033	49	0.0998	9800
Effective Training Incorporated	-542.76	0.0018	1	0.002	15
Shtessel, Yuri	19953.56	0.0018	1	0.002	1
Ge Analytical Instruments Incorporated	3575.0	0.0018	1	0.002	350000
Executive Information Systems	99151.0	0.0018	5	0.0102	12
Primus Electronics Corporation	3495.72	0.0018	1	0.002	50
Spirit Avionics Ltd	153179.0	0.0019	4	0.0081	16
Carl Zeiss Microimaging Incorporated	9444.7	0.0018	1	0.002	220
Spts Technologies Incorporated	99641.0	0.0018	1	0.002	480
H&h Machine Shop Of Akron Incorporated	8856.0	0.0018	1	0.002	20
Video & Telecommunications Incorporated	15435.0	0.0018	1	0.002	6
Technical Solutions And Mainte	6793.0	0.0018	1	0.002	0
Regents Of The University Of Idaho	669099.0	0.0023	3	0.0061	2500
Pumpkin Incorporated	6195.0	0.0018	1	0.002	4
Logical Innovations Incorporated	145264.98	0.0019	7	0.0143	30
Pogo Linux Corporation	83964.13	0.0018	1	0.002	15
Advanced It Concepts Incorporated	39276.6	0.0018	1	0.002	14
A2 Research, Jv	2150142.18	0.0034	6	0.0122	1
Ball Aerospace & Technologies Corporation	45643915.22	0.0357	22	0.0448	3000
Quickparts.Com Incorporated	3139.85	0.0018	1	0.002	800
Spectrum Solutions Incorporated	126.0	0.0018	1	0.002	1
Florida Lifestyle Realty, Llc	176625.0	0.0019	1	0.002	7
Qmagiq, Llc	124995.0	0.0019	1	0.002	8
Mesh Robotics, Llc	874644.0	0.0024	2	0.0041	2
