vendorName,streetAddress,ZIPCode,city,state,countryCode,congressionalDistrictCode,annualRevenue,numberOfEmployees,PIID,modNumber,transactionNumber,obligatedAmount,majorProgramCode,mainAccountCode,placeOfPerformanceZIPCode,placeOfPerformanceCongressionalDistrict,placeOfPerformanceCountryCode,placeOfPerformanceStateCode,signedDate,effectiveDate,currentCompletionDate,ultimateCompletionDate,fundedThroughDate,principalNAICSCode,countryOfOrigin,placeOfManufacture
Marketech International Incorporated,192 Otto St,983681924,Port Townsend,WA,USA,6,2400000,13,NNG14PC12W,0,0,3134.4,BANKCARD,120,983681924,6,USA,WA,2013-10-01 00:00:00,2013-10-01 00:00:00,2013-10-30 00:00:00,2013-10-30 00:00:00,,339999,USA,D
"Airgas Usa, Llc",3737 Worsham Ave,908081774,Long Beach,CA,USA,47,2249999872,1475,NNA14PC36W,0,0,6459.82,,122,940350001,18,USA,CA,2013-10-01 00:00:00,2013-10-01 00:00:00,2014-02-26 00:00:00,2014-02-26 00:00:00,,324110,USA,D
Export 220volt Incorporated,5810 Hillcroft St,770369803,Houston,TX,USA,7,3000000,2,NNJ13PC11189960,0,0,7765,,115,770369803,7,USA,TX,2013-10-16 00:00:00,2013-10-16 00:00:00,2013-10-28 00:00:00,2013-10-28 00:00:00,,335210,USA,D
Science Applications International Corporation,1710 Saic Dr Ste B,221023701,Mc Lean,VA,USA,11,8999999488,40000,NNC14TA06T,0,0,15182,,126,221023701,11,USA,VA,2013-10-17 00:00:00,2013-10-17 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,,541620,USA,C
Alion Science And Technology Corporation,1000 Burr Ridge Pkwy Ste 202,605270849,Burr Ridge,IL,USA,11,811086976,3000,NNC13VF09P,1,0,-125,,122,605270849,11,USA,IL,2013-10-18 00:00:00,2013-10-18 00:00:00,2013-08-09 00:00:00,2013-08-09 00:00:00,,541990,USA,C
Aerotech Incorporated,101 Zeta Dr,152382811,Pittsburgh,PA,USA,12,1,325,NNC13VD42P,1,0,-61,,120,152382811,12,USA,PA,2013-10-18 00:00:00,2013-10-18 00:00:00,2013-06-04 00:00:00,2013-06-04 00:00:00,,335312,USA,D
Leoni Fiber Optics Incorporated,209 Bulifants Blvd,231885729,Williamsburg,VA,USA,1,3825679104,56000,NNC13VC48P,1,0,-21,,126,231885729,1,USA,VA,2013-10-18 00:00:00,2013-10-18 00:00:00,2013-05-15 00:00:00,2013-05-15 00:00:00,,335921,USA,D
Sigma Space Corporation,4801 Forbes Blvd,207064303,Lanham,MD,USA,4,13000000,115,NNG09HP18C,82,0,26451,,120,207064363,4,USA,MD,2013-10-18 00:00:00,2013-10-18 00:00:00,2014-07-31 00:00:00,2014-07-31 00:00:00,2014-02-01 00:00:00,541712,USA,C
Al Razaq Computing Services,6001 Savoy Dr Ste 505,770363365,Houston,TX,USA,7,8400000,97,NNM11AA40T,25,0,64774,,124,358120001,5,USA,AL,2013-10-18 00:00:00,2013-10-18 00:00:00,2014-04-30 00:00:00,2014-04-30 00:00:00,2013-10-25 00:00:00,561210,USA,C
B. W. Rogers Company,7900 Empire Parkway,440562144,Macedonia,OH,USA,14,15,231,NNC11VJ53P,1,0,-462.17,,122,440562144,14,USA,OH,2013-10-21 00:00:00,2013-10-21 00:00:00,2011-12-12 00:00:00,2011-12-12 00:00:00,,423840,USA,D
Gulfstream Aerospace Corporation (georgia),500 Gulfstream Rd,314089643,Savannah,GA,USA,1,5149009920,11537,NND13CD83W,1,0,-26.2,,126,935230273,23,USA,CA,2013-10-21 00:00:00,2013-09-09 00:00:00,2013-09-16 00:00:00,2013-09-16 00:00:00,,336411,USA,D
Silvan Industries Incorporated,2121 Cleveland Ave,541433711,Marinette,WI,USA,8,100000000,700,NNC12VG18P,1,0,-9.95,,126,541433711,8,USA,WI,2013-10-21 00:00:00,2013-10-21 00:00:00,2012-10-12 00:00:00,2012-10-12 00:00:00,,332420,USA,D
Transcat Incorporated,35 Vantage Pt Dr,146241142,Rochester,NY,USA,25,5,324,NNC13QA98P,1,0,46.56,,124,146241142,25,USA,NY,2013-10-21 00:00:00,2013-10-21 00:00:00,2013-11-18 00:00:00,2013-11-21 00:00:00,,425110,USA,D
The Criterion Tool And Die Co,5349 W 161st St (brook Park),441421609,Cleveland,OH,USA,9,2500293,22,NNC13MF13P,1,0,295.6,,122,441421609,9,USA,OH,2013-10-21 00:00:00,2013-10-21 00:00:00,2013-08-23 00:00:00,2013-08-23 00:00:00,,332710,USA,D
Western Industrial Machining Incorporated,137 Hanover Pike,210742040,Hampstead,MD,USA,1,2,20,NNG10LA44D,968,0,1716,,120,210742040,1,USA,MD,2013-10-21 00:00:00,2013-10-21 00:00:00,2014-09-28 00:00:00,2014-09-28 00:00:00,,332710,USA,C
