id	rate
1001	.097
1003	.091
1005	.334
1007	.321
1009	.099
1011	.364
1013	.367
1015	.308
1017	.386
1019	.318
1021	.099
1023	.327
1025	.37
1027	.359
1029	.304
1031	.085
1033	.314
1035	.395
1037	.34
1039	.301
1041	.097
1043	.096
1045	.093
1047	.211
1049	.343
1051	.09
1053	.329
1055	.307
1057	.328
1059	.323
1061	.3
1063	.347
1065	.327
1067	.099
1069	.089
1071	.318
1073	.307
1075	.348
1077	.305
1079	.336
1081	.086
1083	.093
1085	.385
1087	.314
1089	.075
1091	.348
1093	.352
1095	.092
1097	.311
1099	.387
1101	.302
1103	.304
1105	.398
1107	.33
1109	.087
1111	.351
1113	.326
1115	.307
1117	.076
1119	.339
1121	.336
1123	.337
1125	.09
1127	.319
1129	.351
1131	.256
1133	.375
2013	.301
2016	.084
2020	.07
2050	.348
2060	.036
2068	.034
2070	.084
2090	.069
2100	.062
2110	.057
2122	.097
2130	.061
2150	.066
2164	.059
2170	.088
2180	.321
2185	.057
2188	.332
2201	.336
2220	.059
2232	.073
2240	.081
2261	.064
2270	.204
2280	.098
2282	.063
2290	.336
4001	.348
4003	.074
4005	.077
4007	.309
4009	.344
4011	.215
4012	.089
4013	.085
4015	.302
4017	.342
4019	.084
4021	.318
4023	.372
4025	.095
4027	.242
5001	.343
5003	.091
5005	.082
5007	.053
5009	.064
5011	.078
5013	.062
5015	.043
5017	.096
5019	.063
5021	.304
5023	.059
5025	.06
5027	.081
5029	.065
5031	.059
5033	.066
5035	.099
5037	.071
5039	.076
5041	.099
5043	.091
5045	.06
5047	.059
5049	.061
5051	.066
5053	.057
5055	.082
5057	.086
5059	.073
5061	.072
5063	.078
5065	.077
5067	.092
5069	.092
5071	.061
5073	.086
5075	.079
5077	.082
5079	.082
5081	.056
5083	.077
5085	.052
5087	.053
5089	.312
5091	.045
5093	.313
5095	.074
5097	.058
5099	.087
5101	.062
5103	.071
5105	.056
5107	.088
5109	.063
5111	.075
5113	.064
5115	.062
5117	.067
5119	.06
5121	.073
5123	.094
5125	.058
5127	.063
5129	.059
5131	.062
5133	.051
5135	.078
5137	.066
5139	.095
5141	.091
5143	.05
5145	.067
5147	.091
5149	.064
6001	.313
6003	.352
6005	.321
6007	.322
6009	.343
6011	.345
6013	.312
6015	.319
6017	.312
6019	.341
6021	.338
6023	.303
6025	.301
6027	.095
6029	.339
6031	.339
6033	.347
6035	.318
6037	.327
6039	.323
6041	.08
6043	.088
6045	.301
6047	.357
6049	.311
6051	.303
6053	.3
6055	.087
6057	.309
6059	.094
6061	.313
6063	.339
6065	.347
6067	.322
6069	.325
6071	.336
6073	.302
6075	.097
6077	.355
6079	.09
6081	.09
6083	.085
6085	.318
6087	.302
6089	.347
6091	.337
6093	.335
6095	.315
6097	.099
6099	.353
6101	.351
6103	.337
6105	.359
6107	.349
6109	.327
6111	.31
6113	.309
6115	.378
8001	.081
8003	.055
8005	.069
8007	.062
8009	.034
8011	.05
8013	.055
8014	.066
8015	.051
8017	.02
8019	.07
8021	.051
8023	.084
8025	.076
8027	.052
8029	.066
8031	.077
8033	.332
8035	.059
8037	.062
8039	.06
8041	.072
8043	.077
8045	.058
8047	.06
8049	.058
8051	.044
8053	.022
8055	.072
8057	.033
8059	.067
8061	.028
8063	.029
8065	.071
8067	.047
8069	.056
8071	.07
8073	.037
8075	.046
8077	.082
8079	.053
8081	.056
8083	.063
8085	.069
8087	.049
8089	.058
8091	.041
8093	.061
8095	.026
8097	.05
8099	.05
8101	.075
8103	.039
8105	.048
8107	.06
8109	.078
8111	.053
8113	.042
8115	.033
8117	.058
8119	.067
8121	.032
8123	.075
8125	.026
9001	.078
9003	.088
9005	.079
9007	.067
9009	.089
9011	.076
9013	.067
9015	.09
10001	.079
10003	.086
10005	.073
11001	.317
12001	.071
12003	.314
12005	.089
12007	.083
12009	.311
12011	.098
12013	.082
12015	.327
12017	.321
12019	.098
12021	.331
12023	.09
12027	.317
12029	.323
12031	.312
12033	.098
12035	.362
12037	.071
12039	.096
12041	.3
12043	.3
12045	.098
12047	.313
12049	.326
12051	.368
12053	.338
12055	.316
12057	.315
12059	.072
12061	.352
12063	.072
12065	.085
12067	.072
12069	.323
12071	.339
12073	.072
12075	.321
12077	.053
12079	.317
12081	.327
12083	.333
12085	.319
12086	.313
12087	.07
12089	.307
12091	.072
12093	.333
12095	.314
12097	.328
12099	.317
12101	.325
12103	.312
12105	.327
12107	.322
12109	.09
12111	.353
12113	.094
12115	.323
12117	.306
12119	.09
12121	.098
12123	.304
12125	.084
12127	.317
12129	.072
12131	.068
12133	.096
13001	.097
13003	.326
13005	.085
13007	.091
13009	.316
13011	.067
13013	.311
13015	.333
13017	.353
13019	.324
13021	.3
13023	.097
13025	.316
13027	.087
13029	.081
13031	.09
13033	.322
13035	.327
13037	.311
13039	.091
13043	.093
13045	.308
13047	.08
13049	.306
13051	.085
13053	.346
13055	.314
13057	.095
13059	.07
13061	.082
13063	.323
13065	.31
13067	.096
13069	.368
13071	.09
13073	.07
13075	.319
13077	.3
13079	.095
13081	.321
13083	.09
13085	.301
13087	.327
13089	.307
13091	.312
