district	cont-ratio
30	0.0183
28	0.0015
29	0.0076
35	0.0053
32	0.0153
24	0.1045
25	0.0686
26	0.0679
27	0.4203
20	0.0984
21	0.0214
22	0.013
49	0.0229
46	0.0076
47	0.0084
44	0.0069
45	0.0564
42	0.0015
43	0.0229
40	0.0023
41	0.0015
1	0.4966
0	0.2418
3	0.5652
2	0.8276
5	1.0
4	0.402
7	0.6918
6	0.3486
9	0.1869
8	0.5645
39	0.0061
34	0.0198
38	0.016
11	0.5065
10	0.434
13	0.1091
12	0.1396
15	0.0534
14	0.1426
17	0.0885
16	0.1571
19	0.0191
18	0.1831
31	0.1037
23	0.0389
37	0.0107
36	0.1076
53	0.0694
52	0.0549
33	0.1312
48	0.0267
50	0.0069
